SubFP1,SubFP2,SubFP3,SubFP4,SubFP5,SubFP6,SubFP9,SubFP12,SubFP13,SubFP16,SubFP18,SubFP20,SubFP23,SubFP26,SubFP33,SubFP49,SubFP52,SubFP62,SubFP72,SubFP74,SubFP76,SubFP78,SubFP85,SubFP86,SubFP88,SubFP96,SubFP99,SubFP100,SubFP101,SubFP133,SubFP135,SubFP136,SubFP137,SubFP143,SubFP153,SubFP159,SubFP169,SubFP170,SubFP171,SubFP172,SubFP173,SubFP174,SubFP179,SubFP180,SubFP181,SubFP182,SubFP183,SubFP184,SubFP188,SubFP275,SubFP279,SubFP287,SubFP294,SubFP302,SubFP303,SubFPC1,SubFPC2,SubFPC5,SubFPC12,SubFPC18,SubFPC23,SubFPC33,SubFPC49,SubFPC85,SubFPC88,SubFPC135,SubFPC137,SubFPC169,SubFPC171,SubFPC172,SubFPC181,SubFPC184,SubFPC188,SubFPC274,SubFPC275,SubFPC287,SubFPC295,SubFPC300,SubFPC302,SubFPC303,SubFPC307
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,12,0,3,7,9,7,1,16
0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,0,0,0,1,0,1,0,1,3,2,0,0,0,0,0,0,12,2,4,9,13,7,2,19
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,2,0,15,2,2,13,8,7,0,17
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,18,1,2,8,5,6,0,22
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,2,0,0,4,3,0,1,0,0,0,0,12,2,5,12,12,8,3,22
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,2,0,15,2,2,11,7,6,0,17
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,2,3,0,1,0,0,0,0,12,1,4,10,10,8,2,20
0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,4,1,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,12,3,3,12,15,6,1,18
0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,12,1,0,7,11,6,0,16
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,6,1,4,6,11,4,1,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,2,0,15,2,2,10,7,5,0,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12,0,0,4,5,4,0,14
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,5,1,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,12,2,3,13,14,6,1,17
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,4,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,12,1,3,8,10,6,1,18
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,2,0,1,5,3,0,1,0,0,0,0,12,2,6,13,11,8,4,23
1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,2,2,3,1,0,0,0,0,0,6,2,6,12,10,5,4,17
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,12,0,3,6,9,6,1,16
1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,1,1,0,1,1,0,1,0,2,2,3,0,0,0,0,0,0,6,2,6,13,12,8,4,17
1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,2,2,3,0,0,2,0,0,0,12,2,6,13,11,8,4,23
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,2,0,0,4,3,0,0,0,0,0,0,6,2,5,12,11,6,3,16
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,2,0,0,4,3,0,0,1,0,0,0,12,2,5,12,12,8,3,22
